"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2012";"0000";"19,2";"19,6";"18,9";"52,0";"52,0";"51,0";"9,1";"9,4";"8,5";"893,7";"893,8";"893,6";"1,7";"40,0";"4,1";"";"0,2"
"01/01/2012";"0100";"18,8";"19,5";"18,8";"52,0";"52,0";"50,0";"8,7";"9,3";"8,3";"893,6";"893,8";"893,5";"1,6";"22,0";"4,8";"";"0,6"
"01/01/2012";"0200";"18,4";"18,8";"18,4";"52,0";"52,0";"50,0";"8,3";"8,6";"7,9";"893,2";"893,6";"893,2";"2,7";"9,0";"5,8";"";"11,2"
"01/01/2012";"0300";"18,0";"18,5";"17,9";"53,0";"53,0";"51,0";"8,1";"8,4";"7,7";"892,4";"893,2";"892,4";"2,2";"5,0";"6,8";"";"17,2"
"01/01/2012";"0400";"18,4";"18,4";"17,8";"53,0";"53,0";"51,0";"8,7";"8,7";"7,7";"891,6";"892,4";"891,6";"2,6";"49,0";"5,6";"";"14,2"
"01/01/2012";"0500";"18,3";"18,6";"18,3";"53,0";"53,0";"52,0";"8,6";"8,9";"8,3";"890,8";"891,6";"890,8";"2,3";"53,0";"6,7";"";"5,6"
"01/01/2012";"0600";"18,9";"18,9";"18,3";"55,0";"55,0";"52,0";"9,7";"9,7";"8,5";"890,1";"890,8";"890,1";"4,5";"59,0";"9,5";"";"7,6"
"01/01/2012";"0700";"19,2";"19,4";"18,9";"59,0";"59,0";"55,0";"11,0";"11,0";"9,6";"890,1";"890,2";"889,9";"5,5";"56,0";"11,8";"";"1,0"
"01/01/2012";"0800";"19,3";"19,4";"19,2";"64,0";"64,0";"58,0";"12,3";"12,4";"10,8";"890,4";"890,4";"890,0";"5,5";"52,0";"13,9";"";"0,2"
"01/01/2012";"0900";"19,5";"19,6";"19,1";"65,0";"65,0";"62,0";"12,7";"12,7";"11,9";"890,6";"890,6";"890,2";"5,7";"49,0";"13,2";"6,40";"2,4"
